Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate,Cases_28_Days,Deaths_28_Days
Newfoundland and Labrador,Canada,2021-06-23 08:30:48,53.1355,-57.6604,1384,7,1360,17,,265.4570214724809,,,0.5057803468208093,12405,CAN,,,115,1
Northwest Territories,Canada,2021-06-23 08:30:48,64.8255,-124.8457,128,0,128,0,,285.0525565651167,,,0.0,12406,CAN,,,1,0
Nova Scotia,Canada,2021-06-23 08:30:48,44.682,-63.7443,5793,92,5627,74,,592.6603420917749,,,1.5881235974451924,12407,CAN,,,404,13
Ontario,Canada,2021-06-23 08:30:48,51.2538,-85.3232,550239,9047,537644,3548,,3740.1133115553907,,,1.6441946136133572,12408,CAN,,,18877,448
Prince Edward Island,Canada,2021-06-23 08:30:48,46.5107,-63.4168,206,0,206,0,,130.2494973381049,,,0.0,12409,CAN,,,6,0
Quebec,Canada,2021-06-23 08:30:48,52.9399,-73.5491,374095,11195,361675,1225,,4381.696935254263,,,2.9925553669522453,12410,CAN,,,5940,94
Repatriated Travellers,Canada,2021-06-23 08:30:48,,,13,0,13,0,,,,,0.0,,,,,0,0
Saskatchewan,Canada,2021-06-23 08:30:48,52.9399,-106.4509,48505,565,47301,639,,4104.797802424712,,,1.164828368209463,12411,CAN,,,2685,38
Yukon,Canada,2021-06-23 08:30:48,64.2823,-135.0,220,3,125,92,,535.5664832757194,,,1.3636363636363635,12412,CAN,,,136,1
Antofagasta,Chile,2021-06-23 08:30:48,-23.6509,-70.3975,56566,1104,54473,989,,9310.754624432542,,,1.9517024360923525,15201,CHL,,,4199,81
Araucania,Chile,2021-06-23 08:30:48,-38.9489,-72.3311,90591,1183,87340,2068,,9463.929028106271,,,1.3058692364583675,15202,CHL,,,10034,167
Arica y Parinacota,Chile,2021-06-23 08:30:48,-18.594,-69.4785,24539,473,23422,644,,10854.69858626608,,,1.9275439096947715,15203,CHL,,,2260,44
Atacama,Chile,2021-06-23 08:30:48,-27.5661,-70.0503,23909,268,22838,803,,8274.613765989257,,,1.120916809569618,15204,CHL,,,3233,42
Aysen,Chile,2021-06-23 08:30:48,-45.9864,-73.7669,7386,53,6955,378,,7159.890653172803,,,0.7175737882480369,15205,CHL,,,1900,20
Biobio,Chile,2021-06-23 08:30:48,-37.4464,-72.1416,140718,2254,135793,2671,,9038.896971682389,,,1.6017851305447774,15206,CHL,,,13703,214
Coquimbo,Chile,2021-06-23 08:30:48,-29.959,-71.3389,43652,783,41206,1663,,5761.986097947955,,,1.793732245945203,15207,CHL,,,7241,107
Los Lagos,Chile,2021-06-23 08:30:48,-41.9198,-72.1416,83167,1162,80739,1266,,10035.742384531102,,,1.3971887888224896,15208,CHL,,,7973,145
Los Rios,Chile,2021-06-23 08:30:48,-40.231,-72.3311,43859,514,42005,1340,,11396.773179294092,,,1.1719373446727008,15209,CHL,,,6225,87
Magallanes,Chile,2021-06-23 08:30:48,-52.368,-70.9863,28967,438,28048,481,,17394.150108386926,,,1.5120654537922464,15210,CHL,,,1481,43
Maule,Chile,2021-06-23 08:30:48,-35.5183,-71.6885,93723,1483,89706,2534,,8969.137279295659,,,1.5823223755108138,15211,CHL,,,11873,145
Metropolitana,Chile,2021-06-23 08:30:48,-33.4376,-70.6505,641356,16582,608653,16121,,9016.917088159838,,,2.585459557562414,15212,CHL,,,85038,1409
Nuble,Chile,2021-06-23 08:30:48,-36.7226,-71.7622,33356,555,31984,817,,6940.361083541922,,,1.6638685693728266,15213,CHL,,,4119,70
